2025-09-18 22:46:59,473 - __main__ - INFO - 시작 시간: 2025-09-18 22:46:59.432252
2025-09-18 22:46:59,473 - resilient_runner - INFO - 컴포넌트 초기화 시작...
2025-09-18 22:46:59,485 - progress_tracker - INFO - Redis 연결 성공 (세션 ID: eff08546)
2025-09-18 22:46:59,498 - database - INFO - PostgreSQL 연결 성공
2025-09-18 22:46:59,498 - resilient_runner - INFO - 모든 컴포넌트 초기화 완료
2025-09-18 22:46:59,910 - resilient_runner - WARNING - Tranco URL 로드 실패: Failed to download Tranco list: 404, 테스트 URL 사용
2025-09-18 22:46:59,911 - resilient_runner - INFO - 배치 크롤링 시작: 1-50/500
2025-09-18 22:47:00,017 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/2
2025-09-18 22:47:00,020 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/1
2025-09-18 22:47:00,036 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/albums/1
2025-09-18 22:47:00,040 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/1
2025-09-18 22:47:00,042 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/1
2025-09-18 22:47:00,052 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/2
2025-09-18 22:47:00,054 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/1
2025-09-18 22:47:00,054 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/1
2025-09-18 22:47:00,054 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/albums/1
2025-09-18 22:47:00,055 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/2
2025-09-18 22:47:00,073 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/2
2025-09-18 22:47:00,075 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/2
2025-09-18 22:47:00,079 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/1
2025-09-18 22:47:00,085 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/1
2025-09-18 22:47:00,085 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/1
2025-09-18 22:47:00,086 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/albums/1
2025-09-18 22:47:00,087 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/2
2025-09-18 22:47:00,090 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/2
2025-09-18 22:47:00,094 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/albums/1
2025-09-18 22:47:00,145 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/2
2025-09-18 22:47:00,685 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/html
2025-09-18 22:47:00,705 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/status/200
2025-09-18 22:47:00,708 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/json
2025-09-18 22:47:00,728 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/xml
2025-09-18 22:47:00,740 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/delay/1
2025-09-18 22:47:00,865 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/json
2025-09-18 22:47:00,866 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/html
2025-09-18 22:47:00,868 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/xml
2025-09-18 22:47:00,880 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/delay/1
2025-09-18 22:47:00,884 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/status/200
2025-09-18 22:47:00,900 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/json
2025-09-18 22:47:00,905 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/html
2025-09-18 22:47:00,913 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/xml
2025-09-18 22:47:00,930 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/delay/1
2025-09-18 22:47:00,943 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/status/200
2025-09-18 22:47:01,052 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/json
2025-09-18 22:47:01,056 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/html
2025-09-18 22:47:01,058 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/xml
2025-09-18 22:47:01,072 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/delay/1
2025-09-18 22:47:01,077 - database - WARNING - Duplicate URL in batch, skipping: https://httpbin.org/status/200
2025-09-18 22:47:01,079 - resilient_runner - INFO - 배치 완료: 50/50 성공
2025-09-18 22:47:01,079 - resilient_runner - INFO - 메모리 정리 시작...
2025-09-18 22:47:01,089 - resilient_runner - INFO - 가비지 컬렉션: 885개 객체 정리
2025-09-18 22:47:01,089 - resilient_runner - INFO - 메모리 사용량: 48.2MB (87.4%)
2025-09-18 22:47:02,097 - resilient_runner - INFO - 배치 크롤링 시작: 51-100/500
2025-09-18 22:47:02,196 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/1
2025-09-18 22:47:02,200 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/1
2025-09-18 22:47:02,200 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/1
2025-09-18 22:47:02,201 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/albums/1
2025-09-18 22:47:02,201 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/2
2025-09-18 22:47:02,202 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/2
2025-09-18 22:47:02,222 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/2
2025-09-18 22:47:02,231 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/1
2025-09-18 22:47:02,232 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/2
2025-09-18 22:47:02,236 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/1
2025-09-18 22:47:02,238 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/albums/1
2025-09-18 22:47:02,240 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/2
2025-09-18 22:47:02,246 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/1
2025-09-18 22:47:02,264 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/2
2025-09-18 22:47:02,265 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/2
2025-09-18 22:47:02,265 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/users/1
2025-09-18 22:47:02,269 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/albums/1
2025-09-18 22:47:02,273 - database - WARNING - Duplicate URL in batch, skipping: https://jsonplaceholder.typicode.com/posts/1
